long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis g_Dialister g_Mobiluncus
5.100000e+01 3.920224e-15 4.202141e-16 4.256213e+06 9.997495e+05 4.326711e-16 2.380393e-12 8.536625e-12 2.258448e-13 4.283448e-15 1.170205e-06 2.247092e+03 5.765125e+04 2.651867e+00
5.200000e+01 4.013478e-15 4.121133e-16 2.181822e+06 1.088725e+06 4.095447e-16 2.174091e-13 6.990623e-12 2.239712e-13 4.283448e-15 1.911177e-14 3.028087e+03 6.422778e+04 2.479959e+01
5.300000e+01 6.123549e-15 4.167149e-16 3.634745e+06 1.477419e+06 1.419571e-15 7.709454e-12 1.398434e-12 4.595981e-14 4.283448e-15 2.155719e-13 3.675641e+03 7.796396e+04 2.712262e+01
5.400000e+01 7.907576e-15 4.153462e-16 4.161669e+06 1.624979e+06 2.877820e-14 2.591255e-10 2.460458e-11 5.470047e-13 4.283449e-15 1.578674e-08 3.752286e+03 7.657851e+04 3.659156e+01
5.500000e+01 8.266037e-15 4.081627e-16 4.422718e+06 1.606871e+06 1.350003e-13 6.932148e-10 1.611523e-11 4.438646e-13 4.283448e-15 5.869405e-06 4.759664e+03 8.176141e+04 1.091332e+02
5.600000e+01 1.415075e-14 4.133485e-16 8.123188e+06 1.679331e+06 6.202167e-05 5.502286e-04 4.199895e-11 8.193006e-13 4.283449e-15 5.760213e-03 4.865147e+03 8.425953e+04 4.074390e+01
5.700000e+01 1.972440e-14 4.127107e-16 1.190982e+07 1.774175e+06 1.518975e-08 1.441346e-05 6.028542e-11 1.049862e-12 4.283449e-15 4.019632e+03 4.872228e+03 7.881596e+04 1.895591e+01
5.800000e+01 2.880104e-14 4.124887e-16 9.697454e+06 2.032488e+06 2.002988e-07 1.044397e-01 9.568356e-11 1.412583e-12 4.283449e-15 2.807928e+04 5.496930e+03 8.576352e+04 6.696705e+00
5.900000e+01 4.425300e-14 4.126815e-16 1.743353e+07 2.670702e+06 2.053855e+02 1.069532e+01 8.547206e-12 1.442910e-13 4.283449e-15 1.295141e+05 6.405228e+03 9.233777e+04 8.899351e-01
6.000000e+01 4.881111e-14 4.069858e-16 1.061546e+07 2.706273e+06 3.062569e-04 7.734506e+02 9.711769e-11 1.378461e-12 4.283449e-15 5.882323e+04 8.335690e+03 1.080961e+05 4.700458e-01
6.100000e+01 1.165702e-13 4.137819e-16 1.173006e+07 2.731670e+06 1.764267e-02 2.121831e+03 3.064917e-10 2.606313e-12 4.283450e-15 5.125004e+04 7.504200e+03 9.533657e+04 2.060544e-03
6.200000e+01 2.019855e-13 4.146951e-16 1.893804e+07 3.166225e+06 7.635164e+02 1.580594e+04 1.885871e-11 1.814919e-13 4.283450e-15 1.087844e+06 8.130409e+03 1.017889e+05 3.143608e-05
6.300000e+01 6.544557e-15 4.160360e-16 1.118620e+07 2.591480e+06 1.274457e+02 1.609936e+04 1.600065e-11 3.049538e-12 4.283443e-15 1.193757e+05 8.289791e+03 9.252055e+04 3.186175e-04
6.400000e+01 1.094981e-14 4.178134e-16 1.929370e+07 3.077874e+06 5.208794e+01 7.367041e+04 4.757858e-10 3.132756e-12 4.283450e-15 9.101209e+05 9.738422e+03 1.235240e+05 6.743120e-06
6.500000e+01 3.440595e-13 4.200388e-16 1.752784e+07 3.210334e+06 2.117473e-06 8.305490e+04 4.734670e-10 3.406969e-12 4.283450e-15 3.146120e+05 9.618645e+03 1.147828e+05 1.119079e-06
6.600000e+01 2.910611e-13 4.227268e-16 1.400603e+07 2.950446e+06 2.112834e-06 8.940831e+04 5.331775e-10 3.928426e-12 4.283450e-15 1.199447e+05 9.672658e+03 1.046545e+05 5.989717e-11
6.700000e+01 2.663389e-13 4.258951e-16 1.485824e+07 3.357115e+06 1.340248e-12 1.204668e+05 6.825344e-10 4.813072e-12 4.283450e-15 1.407517e+05 1.004715e+04 1.081175e+05 1.373642e-07
6.800000e+01 1.317148e-13 4.218854e-16 1.277921e+07 3.155517e+06 2.604369e-15 1.204736e+05 2.583781e-10 2.914883e-12 4.283450e-15 7.221456e+04 1.110732e+04 1.057132e+05 7.089847e-10
6.900000e+01 2.615042e-13 4.331596e-16 1.108126e+07 3.381591e+06 1.792129e-14 1.070747e+05 9.959579e-12 1.328591e-13 4.283450e-15 6.397757e+04 9.717046e+03 1.077898e+05 6.809098e-08
