long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister g_Mobiluncus
5.200000e+01 2.763108e+09 4.566809e+08 5.838058e-11 2.934546e-01 3.498742e+08 4.753366e+01 4.171412e-15 6.179670e-16 2.219279e-07 1.413589e+06 9.987260e-06 6.835347e+05 2.102437e-11
5.300000e+01 2.439708e+09 3.725027e+08 1.469870e-12 8.940425e-03 3.673707e+08 1.917908e+01 3.272810e-05 6.178911e-16 2.094392e-09 1.404015e+06 1.870660e-05 8.705856e-02 3.488871e-10
5.400000e+01 2.395737e+09 3.020152e+08 1.385424e-13 1.432651e-01 3.969600e+08 4.056517e+02 1.651988e-05 6.178474e-16 1.665558e-03 1.322956e+06 2.587062e-05 4.817540e+03 2.549914e-08
5.500000e+01 2.578281e+09 2.785048e+08 3.437239e-14 5.095678e-03 5.153231e+08 5.778392e+00 1.313685e+05 6.178226e-16 1.005875e-05 1.401069e+06 3.610033e-05 1.062143e+05 1.079496e-09
5.600000e+01 2.665434e+09 2.945008e+08 1.833031e-14 3.790267e-03 5.867375e+08 3.226618e+00 7.111422e+04 6.178093e-16 1.339517e-04 1.318323e+06 3.579811e-05 2.908534e+05 1.760175e-08
5.700000e+01 2.843049e+09 3.174623e+08 1.952652e-14 2.059872e-03 6.665609e+08 1.672071e+00 1.207415e+05 6.178035e-16 3.245963e+01 1.527683e+06 6.064999e-04 4.004291e+05 2.347407e-04
5.800000e+01 2.806290e+09 2.799979e+08 1.288303e-14 3.699943e-03 7.799886e+08 1.878731e+00 2.559047e+05 6.177922e-16 6.128239e-01 1.415872e+06 1.181182e-04 3.350116e+05 1.556571e-05
5.900000e+01 2.742178e+09 3.447936e+08 7.536537e-14 1.919312e-02 8.365272e+08 2.220633e-01 5.442300e+04 6.177959e-16 4.717161e+00 1.409342e+06 8.183548e-04 8.901236e+05 1.070377e-06
6.000000e+01 4.208236e+09 8.350828e+08 3.234393e-13 2.651637e-04 1.155374e+09 6.496843e-02 6.759160e+06 6.177920e-16 3.478955e+02 1.789383e+06 3.743143e-05 3.770519e+06 2.729283e-02
6.100000e+01 1.516713e+09 1.322873e+08 4.332258e-12 9.046993e-03 6.184824e+08 2.180348e+00 7.986524e+04 6.177902e-16 1.242227e+03 8.846518e+05 2.448452e-05 1.172518e+06 6.867917e-06
6.200000e+01 4.151791e+09 5.327975e+08 2.812105e-10 8.381847e-03 1.428374e+09 1.261792e+00 6.138978e+06 6.177899e-16 2.008812e+04 1.835461e+06 1.556490e-03 1.226924e+07 2.591631e-05
6.300000e+01 3.181848e+09 2.821672e+08 2.029706e-07 9.491934e-05 1.160760e+09 4.360037e-03 8.140064e+05 6.177912e-16 3.927694e+04 1.728899e+06 3.254903e-05 4.496313e+06 1.323591e-06
6.400000e+01 2.021201e+09 9.046829e+07 3.570825e-10 1.370184e-02 9.271617e+08 1.860186e+00 7.668282e+05 6.177944e-16 3.148500e+04 1.269068e+06 2.340407e-03 2.223888e+06 1.077939e-03
6.500000e+01 2.898099e+09 1.739026e+08 3.354726e-09 7.845454e-05 1.265205e+09 2.559201e-03 9.051090e+05 6.178005e-16 8.360511e+04 2.016427e+06 2.879892e-05 1.474982e+06 5.333236e-04
