long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
5.800000e+01 9.475237e-03 9.799306e-12 1.752108e-12 1.067327e-15 3.550203e+02 5.544427e-01 5.824167e-16 5.658802e+01 7.068824e-13 3.359695e-16 1.589564e-03 4.071326e-15
5.900000e+01 4.333924e-04 1.872347e-10 8.602246e-11 5.319736e-16 1.268269e+00 1.834419e-02 5.824139e-16 1.679566e-01 2.149159e-13 3.078282e-16 9.125001e-04 4.071070e-15
6.000000e+01 5.933041e-02 4.459718e-10 2.490792e-10 5.346374e-16 2.412870e+00 4.881653e-02 5.824158e-16 4.376501e-01 6.219199e-13 3.106448e-16 6.147662e-04 4.071255e-15
6.100000e+01 5.273054e+08 1.582117e-10 5.600392e-11 3.638834e-16 7.698701e+03 1.724463e+02 5.824132e-16 1.370958e+04 2.425894e-13 2.897252e-16 8.996567e-04 4.071014e-15
6.200000e+01 2.686271e+08 4.263158e-10 2.020296e-10 3.648115e-16 5.062397e+03 1.110364e+02 5.824151e-16 1.047976e+04 9.792435e-13 2.929106e-16 1.570077e-03 4.071215e-15
6.300000e+01 4.735581e+09 1.542698e-10 5.143560e-11 2.938784e-16 1.687649e+06 6.355035e+04 5.824125e-16 7.562750e+06 4.462477e-13 2.768308e-16 8.892913e-04 4.070988e-15
6.400000e+01 1.621080e+09 4.819217e-10 2.477289e-10 2.948776e-16 1.467394e+06 5.091879e+04 5.824145e-16 6.857266e+06 2.910410e-12 2.806892e-16 1.579619e-03 4.071204e-15
6.500000e+01 4.857883e+09 1.735391e-10 6.648531e-11 2.607979e-16 3.631019e+07 2.000716e+06 5.824120e-16 1.786353e+08 1.395918e-12 2.678377e-16 8.944150e-04 4.070992e-15
6.600000e+01 1.133896e+09 6.485168e-10 4.717906e-10 2.623463e-16 2.522531e+07 1.466029e+06 5.824141e-16 1.500053e+08 1.865298e-11 2.727466e-16 5.562611e-04 4.071222e-15
6.700000e+01 2.870913e+09 2.254918e-10 1.218113e-10 2.443050e-16 2.025354e+08 1.492736e+07 5.824117e-16 8.524489e+08 8.040783e-12 2.619059e-16 9.009324e-04 4.071025e-15
6.800000e+01 1.229441e+09 1.049976e-09 1.475248e-09 2.470374e-16 1.173713e+08 9.622466e+06 5.824138e-16 6.444793e+08 1.577414e-15 2.684530e-16 5.510560e-04 4.071270e-15
6.900000e+01 3.670493e+08 3.092693e-12 2.802918e-13 2.453893e-16 1.839299e+08 9.269559e+06 5.824138e-16 9.532201e+08 3.000332e-10 2.681550e-16 1.632064e-03 4.071310e-15
