long.t Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
5.400000e+01 3.332236e+08 1.745721e+07 7.709823e-16 1.223277e-15 1.185591e-15 2.377262e-16 3.368788e+03 1.193808e+02 8.852239e+04 7.386690e-04
5.500000e+01 3.293307e+08 2.677258e+07 8.828446e-16 1.223252e-15 1.185575e-15 2.425870e-16 3.290802e+03 1.167728e+02 8.848585e+04 7.386678e-04
5.600000e+01 2.465679e+08 4.224307e+07 1.180816e-15 1.223272e-15 1.185605e-15 2.685571e-16 2.660758e+03 9.570416e+01 9.317085e+04 7.386849e-04
5.700000e+01 2.104770e+08 4.747803e+07 1.414824e-15 1.223235e-15 1.185588e-15 2.973018e-16 1.021320e+04 9.362379e+01 8.817252e+04 7.386536e-04
5.800000e+01 1.764826e+08 5.949592e+07 1.769482e-15 1.223212e-15 1.185577e-15 3.860604e-16 2.590838e+03 9.025218e+01 8.814026e+04 7.386532e-04
5.900000e+01 1.253075e+08 9.811137e+07 2.322659e-15 1.223201e-15 1.185571e-15 6.715864e-16 2.654577e+03 8.880536e+01 8.835369e+04 7.386516e-04
6.000000e+01 4.959124e+07 3.916131e+07 3.222288e-15 1.223198e-15 1.185570e-15 2.104572e-15 2.512627e+03 8.119934e+01 8.821695e+04 7.386796e-04
6.100000e+01 2.995387e+07 4.257735e+07 4.767142e-15 1.223205e-15 1.185576e-15 2.268731e-14 2.587866e+03 8.194247e+01 8.837725e+04 7.386782e-04
6.200000e+01 1.276378e+07 4.888400e+07 7.607092e-15 1.223221e-15 1.185587e-15 4.454339e-12 2.668388e+03 7.951338e+01 8.857936e+04 7.386485e-04
6.300000e+01 5.678955e+06 2.116398e+07 8.812076e-15 1.223172e-15 1.185550e-15 5.516835e-11 2.977635e+03 8.552505e+01 8.871451e+04 7.386587e-04
6.400000e+01 8.919461e+05 3.186297e+07 2.307939e-14 1.223233e-15 1.185612e-15 3.678590e-03 2.542711e+03 1.897724e+02 8.855574e+04 7.386761e-04
6.500000e+01 1.225503e+05 2.860343e+07 4.523442e-14 1.223230e-15 1.185627e-15 4.491137e-05 2.466296e+03 6.695350e+01 8.860574e+04 7.386458e-04
6.600000e+01 1.070135e+04 4.228868e+07 1.025905e-13 1.223241e-15 1.185648e-15 7.645126e+00 2.407801e+03 1.811559e+02 8.869167e+04 7.386455e-04
6.700000e+01 2.994376e+02 7.674246e+07 2.788436e-13 1.223268e-15 1.185677e-15 1.892423e+03 2.322398e+03 6.404281e+01 8.864267e+04 7.386742e-04
6.800000e+01 2.077631e+08 3.123330e+07 2.253474e-16 1.223315e-15 1.185713e-15 4.939318e+03 1.114618e+04 1.800469e+02 8.866029e+04 7.386739e-04
