long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Gemella Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
5.400000e+01 1.538338e+05 6.616266e+08 1.795845e-17 3.218216e-16 3.410965e-16 2.417185e-15 3.292727e-16 9.339785e-16 4.425359e-12 1.494109e-14
5.500000e+01 7.817155e+04 6.616270e+08 2.978025e-17 5.048302e-16 5.546472e-16 2.791687e-14 5.272315e-16 9.339791e-16 4.437955e-12 1.497356e-14
5.600000e+01 5.996793e+04 6.616263e+08 2.696137e-17 2.552925e-16 2.641612e-16 5.819798e-16 2.577398e-16 9.339779e-16 4.425321e-12 1.493883e-14
5.700000e+01 2.936051e+04 6.616270e+08 4.788932e-17 3.625175e-16 3.895090e-16 5.096524e-15 3.735393e-16 9.339789e-16 4.437920e-12 1.497148e-14
5.800000e+01 2.170413e+04 6.616269e+08 5.816912e-17 2.552925e-16 2.633918e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425289e-12 1.493694e-14
5.900000e+01 6.705277e+03 6.616268e+08 9.658320e-17 3.625175e-16 3.885500e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.437890e-12 1.496977e-14
6.000000e+01 6.826050e+03 6.616269e+08 1.563331e-16 2.552925e-16 2.633831e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425263e-12 1.493542e-14
6.100000e+01 1.752864e+03 6.616272e+08 2.604463e-16 3.625175e-16 3.885395e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.437867e-12 1.496844e-14
6.200000e+01 1.735196e+03 6.616269e+08 4.389782e-16 2.552925e-16 2.633832e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425242e-12 1.493427e-14
6.300000e+01 1.226722e+06 6.616270e+08 8.525798e-16 3.625175e-16 3.885659e-16 5.096519e-15 3.735381e-16 9.339789e-16 4.437850e-12 1.496749e-14
6.400000e+01 1.066228e+03 6.616274e+08 1.076284e-15 2.552925e-16 2.634046e-16 5.819791e-16 2.577388e-16 9.339779e-16 4.425228e-12 1.493350e-14
6.500000e+01 6.603295e+02 6.616273e+08 1.917258e-15 3.625176e-16 3.909088e-16 5.096528e-15 3.735412e-16 9.339789e-16 4.437838e-12 1.496690e-14
6.600000e+01 1.621214e+03 6.616279e+08 1.975645e-15 2.552926e-16 2.652890e-16 5.819804e-16 2.577413e-16 9.339779e-16 4.425219e-12 1.493310e-14
6.700000e+01 3.483673e+02 6.616271e+08 2.005162e-15 7.740837e-16 8.517315e-16 1.120149e-13 8.060418e-16 9.339791e-16 4.437833e-12 1.496669e-14
