long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
4.100000e+01 1.280783e+04 1.229705e+05 8.139548e+03 6.394228e+01 1.203202e-05 2.509070e-08 3.253838e-12 4.516299e-07 2.543725e-07 6.192318e-02 4.724738e+00 3.674905e-08
4.200000e+01 1.724389e+04 2.684259e+05 1.336708e+04 6.394191e+01 5.410320e-06 1.500598e-09 3.254165e-12 4.515556e-07 7.394705e-07 6.191922e-02 4.722798e+00 8.110498e-08
4.300000e+01 1.566165e+04 1.514462e+05 9.229338e+03 6.394221e+01 9.412094e-06 7.262621e-01 3.254436e-12 4.515857e-07 1.896252e-01 6.192432e-02 4.724979e+00 1.030717e+01
4.400000e+01 5.055614e+04 6.984347e+05 2.356721e+04 6.394195e+01 4.076044e-06 2.875956e-09 3.254119e-12 4.514953e-07 1.218106e+00 6.192078e-02 4.722661e+00 3.952343e+01
4.500000e+01 4.126164e+04 6.709534e+05 1.857467e+04 6.394216e+01 6.820887e-06 1.120242e-08 3.254436e-12 4.515105e-07 1.298969e+02 6.192535e-02 4.725189e+00 3.515104e+02
4.600000e+01 1.585660e+04 2.019883e+05 7.142734e+03 6.394073e+01 2.003574e-05 1.500670e-09 3.254165e-12 4.515411e-07 6.083104e+01 6.191762e-02 4.718394e+00 1.700569e+02
4.700000e+01 7.833638e+04 1.477440e+06 2.710877e+04 6.394199e+01 5.094982e-06 3.869950e-16 3.253834e-12 4.514405e-07 2.476183e+03 6.192623e-02 4.725332e+00 9.562632e+03
4.800000e+01 2.851081e+04 2.745423e+05 9.519215e+03 6.394076e+01 1.640074e-06 1.434814e-15 3.254119e-12 4.514929e-07 1.750217e+02 6.191881e-02 4.718010e+00 3.932019e+01
4.900000e+01 3.920750e+04 3.477264e+05 1.379851e+04 6.394157e+01 3.857827e-06 3.869729e-16 3.253831e-12 4.514130e-07 7.161895e+02 6.192692e-02 4.725374e+00 2.788720e+02
5.000000e+01 4.388623e+04 3.797109e+05 1.601987e+04 6.394065e+01 1.583061e-06 1.434751e-15 3.254119e-12 4.514854e-07 9.716262e+02 6.192346e-02 4.723538e+00 6.917007e+01
5.100000e+01 1.886692e+04 7.318289e+04 6.268018e+03 6.394099e+01 2.661824e-06 3.869740e-16 3.253832e-12 4.514252e-07 9.738597e+01 6.192746e-02 4.725350e+00 3.949828e+00
5.200000e+01 2.347441e+04 9.378918e+04 9.513660e+03 6.394030e+01 7.784655e-06 4.349777e-15 3.254131e-12 4.515177e-07 1.622874e+02 6.192286e-02 4.723172e+00 5.235806e-01
5.300000e+01 1.668925e+04 4.303809e+04 4.855999e+03 6.394035e+01 1.887850e-06 9.165706e-16 3.253986e-12 4.514784e-07 7.295395e+01 6.192789e-02 4.725298e+00 2.366930e+00
5.400000e+01 1.765142e+04 3.788770e+04 4.828355e+03 6.394004e+01 1.642918e-06 1.434748e-15 3.254119e-12 4.515158e-07 7.990739e+01 6.192808e-02 4.725264e+00 2.183822e+00
5.500000e+01 1.906952e+04 3.242643e+04 4.783336e+03 6.393973e+01 1.429763e-06 9.165706e-16 3.253989e-12 4.515533e-07 8.752359e+01 6.192827e-02 4.725230e+00 4.285450e+00
5.600000e+01 2.621905e+04 8.384380e+04 9.452276e+03 6.393870e+01 4.636479e-06 4.349777e-15 3.254177e-12 4.515313e-07 7.975247e+01 6.192258e-02 4.722173e+00 4.578250e-01
5.700000e+01 2.625590e+04 3.919772e+04 6.045482e+03 6.393907e+01 1.154462e-06 3.869740e-16 3.254434e-12 4.516136e-07 9.526621e+01 6.192858e-02 4.725141e+00 8.413643e+00
5.800000e+01 6.346485e+04 1.438923e+05 1.144834e+04 6.393844e+01 3.899242e-07 1.434751e-15 3.254119e-12 4.515773e-07 3.958728e+02 6.192427e-02 4.722932e+00 7.653830e+01
5.900000e+01 6.134775e+04 1.371683e+05 1.161299e+04 6.393830e+01 9.474835e-07 3.869729e-16 3.254433e-12 4.516461e-07 2.362375e+02 6.192875e-02 4.725014e+00 2.017413e+02
6.000000e+01 8.340975e+03 2.442990e+04 2.536805e+03 6.393647e+01 1.948452e-07 1.434748e-15 3.254165e-12 4.515721e-07 1.552887e+01 6.192000e-02 4.717527e+00 2.378412e+00
6.100000e+01 5.292420e+04 1.586612e+05 1.115584e+04 6.393733e+01 6.936425e-07 3.869729e-16 3.253838e-12 4.516460e-07 1.335463e+02 6.192877e-02 4.724820e+00 2.553455e+02
6.200000e+01 3.345549e+04 1.988115e+05 9.922796e+03 6.393647e+01 1.873350e-07 1.434746e-15 3.254165e-12 4.515745e-07 3.258294e+01 6.192402e-02 4.722261e+00 1.112900e+02
6.300000e+01 1.416425e+04 6.422005e+04 5.268417e+03 6.393612e+01 4.524494e-07 3.869722e-16 3.254433e-12 4.516126e-07 7.205453e+00 6.192862e-02 4.724555e+00 1.583722e+01
6.400000e+01 7.195226e+03 6.905474e+04 4.299690e+03 6.393541e+01 1.527503e-06 6.236689e-16 3.253976e-12 4.516675e-07 7.887702e-02 6.192392e-02 4.721398e+00 9.852699e+00
6.500000e+01 8.263787e+03 7.284363e+04 5.117503e+03 6.393477e+01 1.317761e-06 9.165700e-16 3.254599e-12 4.515320e-07 1.032874e-04 6.192369e-02 4.722256e+00 1.479787e-03
6.600000e+01 3.552398e+03 6.354411e+04 2.938959e+03 6.393418e+01 2.654268e-07 6.236655e-16 3.254010e-12 4.515810e-07 9.207645e-06 6.192814e-02 4.724075e+00 4.815496e-05
6.700000e+01 2.867170e+03 7.401065e+04 2.870211e+03 6.393350e+01 2.359718e-07 6.236655e-16 3.253966e-12 4.515694e-07 2.449284e-09 6.192793e-02 4.723899e+00 1.143610e-10
6.800000e+01 2.024319e+03 1.595769e+05 4.652510e+03 6.393272e+01 1.046973e-06 9.165779e-16 3.253987e-12 4.514965e-07 1.744121e-09 6.192406e-02 4.722739e+00 4.655352e-12
6.900000e+01 2.025413e+03 6.624959e+04 2.743642e+03 6.393959e+01 1.041810e-06 2.518581e-15 3.253988e-12 4.516081e-07 2.095878e-11 6.194732e-02 4.750102e+00 6.004669e-15
