long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
5.000000e+01 7.453564e-07 4.102317e+05 6.834263e-16 1.645644e+05 7.498674e+06 3.057707e-13 1.103393e+02 1.687529e-14 8.221642e+01 1.480919e-01
5.100000e+01 7.455451e-07 2.213932e+05 3.057073e-16 1.808137e+05 5.937449e+06 2.383611e-14 1.520918e-02 1.687423e-14 8.664160e+02 1.480931e-01
5.200000e+01 7.457340e-07 3.225840e+05 6.834263e-16 1.551720e+05 5.575183e+06 2.392098e-14 9.699125e-04 1.687437e-14 2.130262e+02 1.480917e-01
5.300000e+01 7.455468e-07 2.053929e+05 3.057073e-16 1.673715e+05 4.920146e+06 4.588530e-15 1.222520e-02 1.687339e-14 1.041855e+03 1.480907e-01
5.400000e+01 7.457622e-07 1.869392e+05 6.834263e-16 1.477146e+05 3.307018e+06 4.611454e-15 2.581307e-05 1.687360e-14 2.485849e+02 1.480919e-01
5.500000e+01 7.456017e-07 2.106333e+05 3.057073e-16 1.486537e+05 3.505451e+06 1.582649e-15 2.147855e-04 1.687268e-14 6.001067e+02 1.480904e-01
5.600000e+01 7.458439e-07 4.760983e+05 6.834263e-16 1.709781e+05 8.947394e+06 1.594688e-15 1.548814e-02 1.687296e-14 2.843398e+02 1.480917e-01
5.700000e+01 7.457105e-07 2.617248e+05 3.057073e-16 1.450597e+05 3.358832e+06 7.967948e-16 6.664851e-06 1.687211e-14 3.254386e+02 1.480927e-01
5.800000e+01 7.455776e-07 3.256431e+05 6.834263e-16 1.445568e+05 5.235726e+06 8.061952e-16 7.401529e-03 1.687245e-14 5.385039e+01 1.480919e-01
5.900000e+01 7.458227e-07 4.075332e+05 3.057073e-16 1.568942e+05 5.364968e+06 5.130574e-16 6.014810e-05 1.687166e-14 1.335834e+02 1.480930e-01
6.000000e+01 7.456581e-07 3.221884e+05 6.834320e-16 1.543569e+05 6.479327e+06 5.225446e-16 4.744426e-06 1.687207e-14 2.183602e+01 1.480919e-01
6.100000e+01 7.458866e-07 5.626949e+05 3.057103e-16 1.689924e+05 8.784875e+06 3.881750e-16 1.014229e-03 1.687133e-14 2.535912e+01 1.480929e-01
6.200000e+01 7.456985e-07 6.445601e+05 1.045128e-15 1.655741e+05 1.395989e+07 3.996332e-16 2.193741e+01 1.687180e-14 9.373951e-01 1.480918e-01
6.300000e+01 7.459022e-07 6.953483e+05 4.071392e-16 1.823895e+05 1.484179e+07 3.270424e-16 6.906738e-02 1.687112e-14 1.362718e+00 1.480922e-01
6.400000e+01 7.458989e-07 7.762169e+05 4.071362e-16 1.916949e+05 2.006433e+07 3.067789e-16 3.322350e+00 1.687104e-14 1.946366e-01 1.480901e-01
6.500000e+01 7.460986e-07 3.009991e+05 5.200838e-16 1.457628e+05 1.095841e+07 3.127058e-16 1.625648e+00 1.687155e-14 3.606148e+02 1.480924e-01
6.600000e+01 7.457070e-07 1.078364e+06 4.071585e-16 1.843089e+05 2.581696e+07 2.986755e-16 6.459783e+01 1.687153e-14 1.472270e-02 1.480901e-01
6.700000e+01 7.459232e-07 7.280809e+05 3.057182e-16 1.805200e+05 2.480134e+07 2.718852e-16 2.839372e+03 1.687097e-14 1.755049e+00 1.480930e-01
6.800000e+01 7.457007e-07 9.900508e+05 3.939178e-15 1.591887e+05 2.736814e+07 2.940228e-16 3.775968e+02 1.687160e-14 1.016291e-01 1.480918e-01
