long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis g_Dialister g_Mobiluncus
4.300000e+01 1.558024e+04 9.642425e+06 2.527158e-06 2.130702e-11 2.409034e-16 2.280410e-14 3.072692e-16 2.625895e-16 5.442027e-15 3.055321e-16 5.830266e-15
4.400000e+01 1.558004e+04 3.451432e+06 5.148693e-06 3.274984e-11 3.021757e-16 2.280477e-14 7.003402e-16 3.173554e-16 5.442139e-15 6.883217e-16 5.831371e-15
4.500000e+01 1.558014e+04 4.942026e+06 2.527150e-06 2.188907e-11 2.409034e-16 2.280410e-14 3.072692e-16 2.625262e-16 5.442045e-15 3.055321e-16 5.830457e-15
4.600000e+01 1.558107e+04 1.582063e+06 5.148680e-06 3.417506e-11 3.021757e-16 2.280477e-14 7.003402e-16 3.173054e-16 5.442160e-15 6.883217e-16 5.831593e-15
4.700000e+01 1.558026e+04 2.069385e+06 2.527144e-06 2.295554e-11 2.409034e-16 2.280410e-14 3.072692e-16 2.625386e-16 5.442069e-15 3.055321e-16 5.830710e-15
4.800000e+01 1.558023e+04 6.502348e+05 1.040045e-06 3.647442e-11 3.021757e-16 2.280479e-14 7.003402e-16 3.174478e-16 5.442189e-15 6.883217e-16 5.831877e-15
4.900000e+01 1.558061e+04 7.150987e+05 2.527138e-06 2.457766e-11 2.409034e-16 2.280420e-14 3.072692e-16 2.626711e-16 5.442102e-15 3.055321e-16 5.831024e-15
5.000000e+01 1.558050e+04 2.443452e+05 5.148657e-06 3.982259e-11 3.021757e-16 2.280543e-14 7.003402e-16 3.182935e-16 5.442225e-15 6.883217e-16 5.832223e-15
5.100000e+01 1.558076e+04 2.113592e+05 2.527131e-06 2.686826e-11 2.409034e-16 2.280830e-14 3.072692e-16 2.633994e-16 5.442141e-15 3.055321e-16 5.831402e-15
5.200000e+01 1.558052e+04 6.443724e+04 5.148648e-06 4.448784e-11 3.021757e-16 2.280477e-14 7.003402e-16 3.229114e-16 5.442268e-15 6.883217e-16 5.832631e-15
5.300000e+01 1.558072e+04 5.445899e+04 2.527127e-06 2.999535e-11 2.409034e-16 2.280830e-14 3.072692e-16 2.673674e-16 5.442188e-15 3.055321e-16 5.831842e-15
5.400000e+01 1.558039e+04 1.193573e+04 1.027033e-06 5.086980e-11 3.021757e-16 2.280543e-14 7.003402e-16 3.490201e-16 5.442319e-15 6.883217e-16 5.833103e-15
5.500000e+01 1.558048e+04 1.179828e+04 2.527123e-06 3.420343e-11 2.409034e-16 2.280420e-14 3.072692e-16 2.898390e-16 5.442243e-15 3.055321e-16 5.832345e-15
5.600000e+01 1.558136e+04 4.178101e+05 5.148635e-06 5.955939e-11 3.021757e-16 2.280479e-14 7.003525e-16 5.310714e-16 5.442377e-15 6.883244e-16 5.833638e-15
5.700000e+01 1.558050e+04 3.948300e+03 2.527118e-06 3.984639e-11 2.409034e-16 2.280410e-14 3.072754e-16 4.480397e-16 5.442305e-15 3.055334e-16 5.832912e-15
5.800000e+01 1.558048e+04 9.099251e+02 1.064041e-06 8.805459e-12 3.021762e-16 2.280477e-14 7.096365e-16 5.193350e-15 5.442443e-15 6.924954e-16 5.834237e-15
5.900000e+01 1.558080e+04 1.967951e+03 2.527113e-06 4.532654e-11 2.409038e-16 2.280411e-14 3.119738e-16 4.701478e-15 5.442375e-15 3.076710e-16 5.833543e-15
6.000000e+01 1.558074e+04 2.965602e+02 5.148620e-06 7.985877e-11 9.457018e-10 2.280483e-14 1.303027e-10 1.393174e-08 5.442517e-15 7.831870e-11 5.834901e-15
6.100000e+01 1.558096e+04 7.267343e+02 2.527107e-06 5.035713e-11 7.254905e-11 2.280449e-14 2.706430e-11 1.521425e-09 5.442453e-15 1.723978e-11 5.834239e-15
6.200000e+01 1.558101e+04 4.074237e+02 2.527105e-06 5.337098e-11 3.670014e-05 2.280479e-14 5.414766e-06 8.322675e-05 5.442494e-15 2.185558e-06 5.834604e-15
6.300000e+01 1.558108e+04 2.284110e+02 2.527103e-06 5.656523e-11 5.369298e+01 2.280459e-14 6.483567e+00 6.897061e+00 5.442535e-15 1.567222e+00 5.834969e-15
6.400000e+01 1.558095e+04 2.253460e+04 5.148610e-06 7.824547e-12 1.679475e-02 2.280550e-14 1.918781e-03 1.633539e-02 5.442681e-15 3.135142e-04 5.836361e-15
6.500000e+01 1.558117e+04 1.174647e+02 2.527100e-06 6.099713e-11 6.494345e+07 2.280838e-14 2.716452e+07 2.081600e+06 5.442621e-15 1.959135e+06 5.835733e-15
6.600000e+01 1.558108e+04 2.861130e+04 5.148610e-06 7.776722e-12 3.670007e-05 2.280476e-14 5.317756e-06 1.232209e+02 5.441066e-15 2.168268e-06 5.819709e-15
6.700000e+01 1.558120e+04 1.613964e+02 2.527100e-06 6.064355e-11 8.775067e-05 2.280833e-14 1.156693e-04 8.018089e+03 5.442652e-15 2.174010e-05 5.836018e-15
6.800000e+01 1.558108e+04 1.981396e+01 1.058652e-06 1.073737e-10 6.770768e-09 2.280511e-14 5.411720e-09 2.639131e-07 5.442744e-15 1.881131e-09 5.836932e-15
6.900000e+01 1.558101e+04 1.765519e+01 5.148616e-06 1.071563e-10 4.410753e-16 2.280460e-14 1.417817e-15 4.663458e+02 5.442734e-15 1.327473e-15 5.836852e-15
