long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
4.900000e+01 3.919755e+01 1.601497e+07 2.105557e-02 1.528917e-15 5.641074e-06 2.998123e-12 2.220452e-16 1.602366e-15 4.402220e-16 2.220452e-16 5.376521e-14 4.558148e-15
5.000000e+01 3.922907e+01 2.901129e+07 1.656134e-03 2.220959e-14 2.169565e-05 3.098281e-12 2.220457e-16 2.176207e-15 2.741351e-15 2.220457e-16 5.379592e-14 4.887713e-15
5.100000e+01 3.919916e+01 1.892770e+07 4.756997e-03 1.528953e-15 4.512564e-06 2.958484e-12 2.220456e-16 2.039727e-15 4.402625e-16 2.220456e-16 5.376609e-14 4.558150e-15
5.200000e+01 3.882612e+01 1.717412e+07 1.909048e-05 6.400245e-14 2.045487e-05 3.072445e-12 2.220469e-16 2.938169e-15 1.146780e-09 2.220469e-16 5.353968e-14 1.694765e-15
5.300000e+01 3.920041e+01 2.376510e+07 2.001565e-04 8.357121e-15 4.534677e-06 2.948152e-12 2.220467e-16 2.754221e-15 2.968301e-11 2.220466e-16 5.376338e-14 4.558150e-15
5.400000e+01 3.920085e+01 2.607783e+07 2.334967e-05 2.221195e-14 4.811898e-06 2.950550e-12 2.220474e-16 3.246930e-15 2.291630e-06 2.220473e-16 5.375994e-14 4.558149e-15
5.500000e+01 3.920130e+01 2.862414e+07 2.723904e-06 8.359069e-15 5.106066e-06 2.953666e-12 2.220481e-16 3.814549e-15 2.343598e-01 2.220480e-16 5.375650e-14 4.558148e-15
5.600000e+01 3.873211e+01 2.599932e+07 3.766595e-05 5.004549e-10 2.983726e-05 3.084242e-12 2.220517e-16 6.047275e-15 8.604854e-04 2.220515e-16 5.378360e-14 4.887711e-15
5.700000e+01 3.920170e+01 3.340019e+07 1.211057e-07 3.978511e-08 6.449690e-06 2.975176e-12 2.220507e-16 5.493085e-15 1.347265e+04 2.220506e-16 5.375018e-14 4.558147e-15
5.800000e+01 3.858106e+01 3.155888e+07 9.823271e-11 7.445648e-11 1.494687e-06 3.122263e-12 2.220575e-16 9.487241e-15 2.291442e-06 2.220572e-16 5.377782e-14 4.887710e-15
5.900000e+01 3.920101e+01 3.701705e+07 3.588741e-09 3.608655e-01 8.221157e-06 3.026582e-12 2.220570e-16 8.745523e-15 1.706544e-06 2.220568e-16 5.374496e-14 4.558145e-15
6.000000e+01 3.893491e+01 4.938770e+07 5.882070e-09 1.269713e-10 2.126817e-06 2.630139e-12 2.220712e-16 1.686736e-14 1.206650e-06 2.220707e-16 5.377315e-14 4.887708e-15
6.100000e+01 3.919943e+01 4.215171e+07 4.774031e-11 1.387443e-08 8.637740e-06 3.047483e-12 2.220710e-16 1.569611e-14 4.403025e-16 2.220704e-16 5.374084e-14 4.558144e-15
6.200000e+01 4.137223e+01 2.751931e+07 8.740181e-11 7.446440e-11 6.394486e-05 3.166114e-12 2.221015e-16 3.492062e-14 2.742033e-15 2.221003e-16 5.376958e-14 4.887707e-15
6.300000e+01 3.919969e+01 4.609234e+07 2.521923e-12 1.529252e-15 9.348823e-06 3.037478e-12 2.221013e-16 3.254242e-14 4.403036e-16 2.221001e-16 5.373782e-14 4.558143e-15
6.400000e+01 3.882402e+01 4.263744e+07 5.846625e-12 2.221179e-14 1.512082e-06 3.171996e-12 2.221682e-16 8.731691e-14 1.588136e-06 2.221655e-16 5.376712e-14 4.887707e-15
6.500000e+01 3.920170e+01 4.574210e+07 3.802252e-13 1.528917e-15 1.025550e-05 3.058267e-12 2.221665e-16 8.035124e-14 2.314540e-06 2.221639e-16 5.373590e-14 4.558142e-15
6.600000e+01 3.875388e+01 4.160416e+07 1.340876e-12 2.220967e-14 1.092199e-06 2.609309e-12 2.223234e-16 1.426663e-15 1.210462e-06 2.223175e-16 5.376575e-14 4.887706e-15
6.700000e+01 3.920287e+01 4.446118e+07 1.322896e-13 1.528963e-15 9.076306e-06 3.044239e-12 2.223073e-16 1.117114e-13 9.002239e+03 2.223017e-16 5.373508e-14 4.558142e-15
6.800000e+01 3.883973e+01 3.989293e+07 1.045183e-12 8.335184e-14 1.066816e-04 3.143601e-12 2.228184e-16 2.031201e-13 3.723543e-01 2.228019e-16 5.376548e-14 4.887706e-15
