long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
5.300000e+01 2.492061e-16 5.612867e-17 1.697179e-15 2.302550e-16 1.817738e-09 2.220446e-16 4.871253e-16 2.587196e-16 2.297573e-16 3.237079e-14 7.965082e-15
5.400000e+01 3.475401e-16 3.640681e-17 1.941951e-15 2.560764e-16 1.311066e-12 2.220446e-16 1.253480e-15 2.594189e-16 2.539493e-16 3.237079e-14 1.726733e-14
5.500000e+01 2.492061e-16 2.434073e-17 1.881347e-15 2.302550e-16 1.947680e-10 2.220446e-16 4.871253e-16 2.527214e-16 2.297573e-16 3.237079e-14 1.666257e-14
5.600000e+01 3.475401e-16 1.494375e-17 2.174732e-15 2.560764e-16 3.098016e-10 2.220446e-16 1.253480e-15 2.535100e-16 2.539493e-16 3.237079e-14 4.286307e-14
5.700000e+01 2.492061e-16 1.141397e-17 2.105139e-15 2.302550e-16 4.731358e-12 2.220446e-16 4.871253e-16 2.480601e-16 2.297573e-16 3.237079e-14 4.100954e-14
5.800000e+01 3.475401e-16 6.643007e-18 2.461191e-15 2.560764e-16 9.397816e-12 2.220446e-16 1.253480e-15 2.489828e-16 2.539493e-16 3.237079e-14 1.308148e-13
5.900000e+01 2.492061e-16 5.831896e-18 2.379003e-15 2.302550e-16 5.690425e-13 2.220446e-16 4.871253e-16 2.444957e-16 2.297573e-16 3.237079e-14 1.228407e-13
6.000000e+01 3.475401e-16 3.261344e-18 2.816817e-15 2.560764e-16 1.575553e-12 2.220446e-16 1.253499e-15 2.456014e-16 2.539493e-16 3.237079e-14 5.153757e-13
6.100000e+01 2.492061e-16 3.268833e-18 2.716842e-15 2.302550e-16 2.411949e-13 2.220446e-16 4.871416e-16 2.418518e-16 2.297573e-16 3.237079e-14 4.667128e-13
6.200000e+01 3.475400e-16 1.803092e-18 3.262731e-15 2.560763e-16 1.091054e-12 2.220446e-16 2.296849e-12 2.432014e-16 2.539493e-16 3.237079e-14 2.794109e-12
6.300000e+01 2.492061e-16 2.021716e-18 3.137349e-15 2.302549e-16 3.139272e-13 2.220446e-16 9.360818e-09 2.400020e-16 2.297572e-16 3.237079e-14 2.364987e-12
6.400000e+01 2.789171e-16 1.141941e-18 3.828141e-15 2.386416e-16 2.906953e-12 2.220446e-16 6.456076e-07 2.416783e-16 2.376262e-16 3.237079e-14 5.571014e-14
6.500000e+01 2.492181e-16 9.778349e-19 4.141061e-16 2.302550e-16 1.105833e-11 2.220446e-16 9.360156e-09 2.413480e-16 2.297573e-16 3.237079e-14 3.241758e-11
6.600000e+01 6.075767e-10 9.018465e-19 4.095206e-15 2.386419e-16 1.350168e-10 2.220446e-16 6.456793e-07 2.414737e-16 2.376264e-16 3.237079e-14 6.006526e-14
6.700000e+01 1.252613e-06 1.177480e-18 3.536537e-15 2.302555e-16 9.364614e-11 2.220446e-16 4.871767e-16 2.390304e-16 2.297576e-16 3.237079e-14 9.360756e-12
6.800000e+01 2.865284e-15 8.902122e-19 3.994511e-15 6.432127e-16 1.369799e-15 2.220449e-16 1.822126e-15 2.427076e-16 6.267975e-16 3.237079e-14 5.688286e-11
