long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Gemella Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
5.800000e+01 2.618726e-12 7.073573e-14 9.652680e-16 1.020080e-15 4.322653e-15 7.805345e-14 1.530750e-09 4.228404e-01 1.039008e-09
5.900000e+01 1.461717e-12 7.072716e-14 9.581508e-16 1.019744e-15 4.319710e-15 5.693387e-14 1.572296e-10 1.487060e+00 1.975484e-11
6.000000e+01 1.398647e-12 7.072836e-14 9.535059e-16 1.019599e-15 4.319706e-15 5.928033e-14 1.288572e-10 1.027649e+00 4.949701e-11
6.100000e+01 2.334248e-12 7.073933e-14 9.508316e-16 1.019549e-15 4.322641e-15 9.030484e-14 6.737222e-10 1.021344e+02 2.500443e-08
6.200000e+01 2.328022e-12 7.074113e-14 9.480801e-16 1.019492e-15 4.322638e-15 3.565091e-15 8.354426e-10 3.321194e-01 3.161885e-06
6.300000e+01 2.409337e-12 7.074356e-14 9.461893e-16 1.019467e-15 4.322635e-15 8.684295e-14 1.808631e-09 3.380220e-01 2.458232e-09
6.400000e+01 9.142416e-14 7.074661e-14 9.449680e-16 1.019458e-15 4.322632e-15 7.958576e-14 6.157064e-12 2.971188e-01 2.020452e+00
6.500000e+01 2.393890e-12 7.075028e-14 9.442934e-16 1.019460e-15 4.322631e-15 7.500744e-14 8.854875e-09 3.785538e+02 2.732968e-03
6.600000e+01 2.298445e-12 7.066974e-14 9.440979e-16 1.019474e-15 4.322630e-15 7.270696e-14 2.227991e-08 3.502387e-01 1.544819e+00
6.700000e+01 2.292214e-12 7.075401e-14 9.443620e-16 1.019508e-15 4.322629e-15 7.250962e-14 4.993857e-12 4.328395e-01 3.341538e+00
