long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
4.500000e+01 7.650190e+05 4.912636e-13 2.627978e-16 7.097420e+07 8.771534e+06 6.981193e+05 4.616027e-16 8.199845e+06 4.337294e+07 2.803680e-02 1.856908e+01 1.314231e+06 8.796770e-07
4.600000e+01 5.330468e+05 3.567328e-11 2.578721e-16 6.264964e+07 1.914338e+06 7.614235e+05 4.949100e-16 2.201992e+06 1.990237e+07 2.316503e-02 3.026024e+01 1.054455e+06 7.519909e-07
4.700000e+01 5.420575e+05 2.862672e-11 2.505176e-16 6.982588e+07 1.594628e+06 1.106389e+06 4.648731e-16 3.712397e+06 2.731421e+07 2.624826e-01 7.287522e+01 1.023139e+06 1.482423e-07
4.800000e+01 5.147200e+05 5.572249e-11 2.470832e-16 6.540267e+07 1.112585e+06 1.208834e+06 4.773353e-16 3.477362e+06 1.882919e+07 6.052958e-02 1.203477e+02 1.032743e+06 1.797827e-07
4.900000e+01 5.361802e+05 1.084649e-10 2.436958e-16 6.125965e+07 7.762599e+05 1.320765e+06 4.619957e-16 3.257207e+06 1.668494e+07 1.395837e-02 1.987449e+02 1.042437e+06 2.180337e-07
5.000000e+01 6.517835e+05 1.670147e-11 2.424545e-16 6.985214e+07 4.192941e+06 1.301893e+06 4.869152e-16 3.944409e+06 1.883891e+07 1.565841e-05 2.562185e+02 1.222299e+06 2.253501e-08
5.100000e+01 8.783188e+05 7.410185e-10 2.392614e-16 6.395849e+07 1.657917e+06 1.393748e+06 4.486945e-16 4.898808e+06 3.528852e+07 2.321618e-07 2.083290e+03 1.010141e+06 1.532732e-08
5.200000e+01 6.071700e+05 2.881630e-11 2.366374e-16 4.583774e+07 3.095409e+06 1.196199e+06 4.295495e-16 3.412478e+06 2.931114e+07 6.584421e-06 3.633449e+03 8.835541e+05 4.216457e-07
5.300000e+01 9.008301e+05 2.878334e-11 2.344759e-16 5.025557e+07 4.388817e+06 1.238666e+06 4.205241e-16 4.752921e+06 5.007595e+07 2.964189e-08 9.423410e+02 9.294150e+05 2.400779e-07
5.400000e+01 8.546542e+05 5.129390e-10 2.326955e-16 4.333915e+07 2.670907e+06 1.160933e+06 4.182699e-16 1.743483e+06 1.849293e+07 1.702151e-09 1.421067e+03 8.585372e+05 2.031771e-07
5.500000e+01 8.348338e+05 3.360543e-10 2.312336e-16 4.402823e+07 5.763277e+05 1.138969e+06 4.222019e-16 1.839754e+06 1.114648e+07 8.205636e-10 2.277177e+03 7.565473e+05 2.544963e-07
5.600000e+01 1.015954e+06 2.732934e-10 2.300412e-16 4.612425e+07 6.042747e+06 1.249742e+06 4.343043e-16 1.963509e+06 1.673723e+07 3.159904e-09 3.637087e+03 9.452483e+05 9.330928e-09
5.700000e+01 8.315745e+05 1.012364e-10 2.284097e-16 3.354852e+07 1.466454e+06 9.522869e+05 3.996395e-16 2.695532e+06 1.932680e+07 1.774995e-09 5.859796e+03 6.342950e+05 9.593272e-08
