long.t Lactobacillus_crispatus Lactobacillus_gasseri g_Megasphaera g_Gemella Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
5.700000e+01 4.864793e-02 1.819545e+08 1.642921e-13 2.244876e-16 2.527980e-09 2.631418e+07 4.972145e+05 2.594310e-14
5.800000e+01 3.365389e+00 1.846441e+08 1.642918e-13 2.251964e-16 8.104511e-10 8.885004e+06 2.083555e+04 2.597426e-14
5.900000e+01 1.290889e-01 1.917626e+08 1.642925e-13 2.249216e-16 2.527979e-09 7.929016e+06 2.490654e+05 2.597819e-14
6.000000e+01 4.465477e-02 1.879505e+08 1.642918e-13 2.259256e-16 4.426888e-09 2.397630e+06 1.235344e+04 2.585337e-14
6.100000e+01 4.427470e-01 1.999010e+08 1.642921e-13 2.256554e-16 2.527932e-09 8.673415e+05 1.312421e+05 2.598322e-14
6.200000e+01 1.120815e-01 1.855896e+08 1.642919e-13 2.271462e-16 4.427013e-09 5.292695e+05 7.572097e+02 2.598439e-14
6.300000e+01 1.055632e+00 2.033500e+08 1.642917e-13 2.267694e-16 2.527973e-09 1.324041e+05 6.330163e+02 2.595850e-14
6.400000e+01 1.489921e+00 2.034757e+08 1.642916e-13 2.274345e-16 2.528015e-09 6.612010e+04 8.249469e-01 2.594920e-14
6.500000e+01 2.102877e+00 2.036665e+08 1.642916e-13 2.281000e-16 2.528057e-09 3.301913e+04 8.591700e-06 2.594035e-14
6.600000e+01 2.420526e-01 1.783925e+08 1.642916e-13 2.310806e-16 4.427602e-09 3.618474e-09 3.947666e+03 2.594777e-14
6.700000e+01 3.462922e+00 1.995629e+08 1.642915e-13 2.297921e-16 2.528185e-09 8.977605e-06 1.249578e-03 2.592753e-14
6.800000e+01 3.953185e-01 2.197719e+08 1.642916e-13 2.347030e-16 8.403278e-10 3.268110e+05 1.878243e-01 2.593932e-14
