long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
4.000000e+01 2.516110e+01 1.114946e-07 8.245245e-11 5.299700e+07 2.456153e+06 3.137547e+05 1.063760e+07 2.117282e+07 8.108729e-13 2.836631e-15 6.518017e+04 1.206285e+07
4.100000e+01 1.394703e+01 1.114946e-07 8.245274e-11 5.106658e+07 2.362787e+06 2.999749e+05 9.921450e+06 2.048973e+07 8.123765e-13 3.078900e-15 1.337760e+05 1.574394e+07
4.200000e+01 7.591450e+00 1.114946e-07 8.245237e-11 4.653004e+07 1.199773e+06 2.833189e+05 8.957670e+06 1.838279e+07 8.123720e-13 3.132763e-15 5.006602e+04 1.362790e+07
4.300000e+01 6.673791e+00 1.114946e-07 8.245235e-11 4.978619e+07 1.427617e+06 3.055395e+05 9.711882e+06 2.024754e+07 8.123692e-13 3.208643e-15 5.417531e+04 2.868648e+07
4.400000e+01 3.386656e+00 1.114946e-07 8.245234e-11 4.444759e+07 8.485200e+05 2.754620e+05 7.781963e+06 1.721557e+07 8.123683e-13 3.308301e-15 4.986156e+04 1.391302e+07
4.500000e+01 1.892529e+00 1.114947e-07 8.245234e-11 4.344186e+07 5.957709e+05 2.805426e+05 7.811371e+06 1.761675e+07 8.123692e-13 3.434109e-15 4.740818e+04 1.402186e+07
4.600000e+01 8.081203e-01 1.114946e-07 8.245234e-11 4.110769e+07 4.375555e+05 2.718835e+05 6.864149e+06 1.609836e+07 8.123719e-13 3.589156e-15 4.477119e+04 6.086971e+06
4.700000e+01 4.625557e-01 1.114949e-07 8.245235e-11 4.342985e+07 3.846211e+05 3.001011e+05 7.281304e+06 1.805262e+07 8.123764e-13 3.777392e-15 4.359301e+04 8.235705e+06
4.800000e+01 1.312562e-01 1.114946e-07 8.245245e-11 3.843146e+07 1.845646e+05 2.728540e+05 5.858622e+06 1.553994e+07 8.123828e-13 4.003814e-15 3.683111e+04 1.268108e+06
4.900000e+01 5.931740e-01 1.114949e-07 8.245388e-11 4.067161e+07 1.666811e+05 3.060751e+05 6.634579e+06 1.722471e+07 8.123909e-13 4.274716e-15 8.487995e+04 4.124529e+06
5.000000e+01 2.607537e-01 1.114946e-07 8.245234e-11 3.540547e+07 8.079484e+04 2.644111e+05 5.123652e+06 1.456743e+07 8.124008e-13 4.598017e-15 3.493709e+04 1.111594e+06
5.100000e+01 1.591701e-01 1.114949e-07 8.245388e-11 3.699081e+07 5.638181e+04 2.836147e+05 5.483227e+06 1.565302e+07 8.124126e-13 4.983702e-15 3.703638e+04 5.925529e+06
5.200000e+01 1.343928e-01 1.114946e-07 8.245248e-11 2.764827e+07 1.524245e+04 2.320911e+05 3.236247e+06 1.076364e+07 8.016815e-13 5.444392e-15 2.948888e+04 4.038828e+04
5.300000e+01 1.123352e-02 1.114948e-07 8.245275e-11 3.255384e+07 1.270789e+04 2.788145e+05 4.091851e+06 1.381645e+07 8.035647e-13 5.996130e-15 3.338215e+04 4.243601e+04
5.400000e+01 2.534783e-02 1.114946e-07 8.245246e-11 3.043172e+07 8.272428e+03 2.680991e+05 3.556690e+06 1.291453e+07 8.109120e-13 6.016735e-15 3.377529e+04 1.954361e+03
5.500000e+01 8.677534e-03 1.114948e-07 8.245440e-11 2.941013e+07 2.473406e+03 2.584228e+05 3.182550e+06 1.257690e+07 8.037260e-13 7.394510e-15 2.997290e+04 2.052203e-02
5.600000e+01 1.290752e-01 1.114946e-07 8.245248e-11 2.983669e+07 2.687643e+04 6.219960e+05 2.822274e+06 1.275757e+07 8.124007e-13 8.284496e-15 6.778436e+04 4.778841e+02
5.700000e+01 7.889052e-03 1.114949e-07 8.245567e-11 2.514215e+07 5.911193e+02 2.497821e+05 2.285648e+06 1.103123e+07 8.123874e-13 9.368013e-15 2.747770e+04 1.487190e-07
5.800000e+01 1.411022e-01 1.114946e-07 8.245246e-11 7.487835e+07 1.228749e+04 6.242727e+05 9.148973e+06 4.125756e+07 8.123760e-13 1.069567e-14 7.385667e+04 7.467757e-02
5.900000e+01 9.467927e-03 1.114947e-07 8.245402e-11 2.470112e+07 3.934006e+02 2.484871e+05 2.295988e+06 1.087665e+07 8.123664e-13 1.233436e-14 3.377016e+04 3.831722e-11
6.000000e+01 7.999905e-03 1.114946e-07 8.245246e-11 2.491002e+07 3.508427e+02 2.445734e+05 2.500941e+06 1.031521e+07 8.123586e-13 2.589642e-15 3.853686e+04 2.076878e-07
6.100000e+01 6.157638e-03 1.114947e-07 8.245235e-11 2.528485e+07 2.618416e+02 2.458323e+05 2.839587e+06 1.057305e+07 8.123525e-13 2.577244e-15 4.263640e+04 1.850153e-10
6.200000e+01 4.828762e-03 1.114946e-07 8.245234e-11 2.587332e+07 1.870954e+02 2.608823e+05 3.273757e+06 1.021236e+07 8.123483e-13 1.369391e-14 5.000306e+04 4.862867e-11
6.300000e+01 3.454973e-03 1.114949e-07 8.245235e-11 2.856421e+07 5.637319e+03 2.660982e+05 3.797940e+06 1.188245e+07 8.123459e-13 1.273157e-14 5.913836e+04 1.984936e-09
6.400000e+01 1.318307e-03 1.114946e-07 8.245246e-11 2.760513e+07 6.561283e+03 2.523287e+05 3.792347e+06 1.066131e+07 8.123454e-13 1.195973e-14 5.963386e+04 7.485739e-05
6.500000e+01 2.024285e-02 1.114949e-07 8.245399e-11 3.020915e+07 2.651192e+02 2.612811e+05 4.353668e+06 1.244119e+07 8.038455e-13 1.135001e-14 6.644876e+04 7.294247e-05
6.600000e+01 1.225876e-02 1.114946e-07 8.245245e-11 2.845624e+07 3.359720e+02 2.462050e+05 4.260825e+06 1.103468e+07 8.123394e-13 1.088108e-14 6.746027e+04 3.461483e+00
6.700000e+01 1.027347e-02 1.114949e-07 8.245556e-11 3.067881e+07 5.782030e+02 2.625530e+05 5.069786e+06 1.204712e+07 8.123340e-13 1.053729e-14 7.446559e+04 2.227438e+03
6.800000e+01 1.201508e-02 1.114946e-07 8.245248e-11 2.826001e+07 4.066888e+02 2.397305e+05 4.789257e+06 1.072851e+07 8.123304e-13 1.030771e-14 7.160792e+04 2.565293e+04
6.900000e+01 9.814186e-05 1.114948e-07 8.245435e-11 2.871095e+07 3.415067e+02 2.504676e+05 5.118057e+06 1.081300e+07 8.123287e-13 1.018554e-14 7.399637e+04 5.599096e+04
