long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
4.500000e+01 1.523943e-11 3.095407e+08 5.166785e-16 2.968309e-15 1.804742e-04 2.864826e-15 4.954444e-16 5.302291e-16 2.229672e-09 1.727360e-12
4.600000e+01 1.027288e-09 1.325871e+08 8.953050e-16 3.280989e-15 1.927340e-04 3.156706e-15 8.368302e-16 9.349872e-16 2.229334e-09 1.727344e-12
4.700000e+01 6.924934e-08 8.062719e+07 1.220017e-15 3.626605e-15 2.058265e-04 3.478324e-15 1.124813e-15 1.287013e-15 2.228997e-09 1.727328e-12
4.800000e+01 4.668088e-06 6.602438e+07 1.348127e-15 4.008626e-15 2.198084e-04 3.832710e-15 1.237586e-15 1.426856e-15 2.228659e-09 1.727311e-12
4.900000e+01 3.146752e-04 7.127696e+07 1.220017e-15 4.430889e-15 2.347402e-04 4.223201e-15 1.124813e-15 1.287013e-15 2.228322e-09 1.727295e-12
5.000000e+01 2.121221e-02 1.022700e+08 8.953050e-16 4.897632e-15 2.506862e-04 4.653477e-15 8.368302e-16 9.349875e-16 2.227984e-09 1.727279e-12
5.100000e+01 1.429912e+00 2.026578e+08 5.166785e-16 5.413541e-15 2.677155e-04 5.127591e-15 4.954445e-16 5.302293e-16 2.227648e-09 1.727263e-12
5.200000e+01 7.409820e-03 3.358485e+07 2.572634e-15 8.046838e-15 3.941131e-05 7.542045e-15 2.330161e-15 2.795942e-15 2.101059e-09 1.728831e-12
5.300000e+01 4.482698e+02 3.711519e+08 3.615430e-16 6.724266e-15 2.756544e-04 6.324162e-15 3.515962e-16 3.665000e-16 2.226254e-09 1.727241e-12
5.400000e+01 2.084713e+03 3.658040e+08 4.231313e-16 7.556370e-15 2.657744e-04 7.078754e-15 4.078764e-16 4.308494e-16 2.225198e-09 1.727235e-12
5.500000e+01 9.695115e+03 5.701307e+08 3.615430e-16 8.491447e-15 2.562486e-04 7.923385e-15 3.515962e-16 3.664997e-16 2.224142e-09 1.727229e-12
5.600000e+01 4.934319e+03 1.445780e+08 6.692405e-16 1.351973e-14 3.043596e-03 1.245503e-14 6.315891e-16 6.914941e-16 2.287306e-09 1.728807e-12
5.700000e+01 8.022921e+04 7.483838e+08 2.659233e-16 1.092719e-14 2.699827e-04 1.010617e-14 2.630333e-16 2.672071e-16 2.222384e-09 1.727227e-12
5.800000e+01 5.938842e+04 2.408928e+08 4.231322e-16 1.835353e-14 4.397828e-05 1.672504e-14 4.078769e-16 4.308540e-16 2.285868e-09 1.728815e-12
5.900000e+01 1.627023e+05 3.005015e+08 2.659239e-16 1.462192e-14 2.939400e-04 1.337668e-14 2.630336e-16 2.672104e-16 2.221328e-09 1.727246e-12
6.000000e+01 7.212958e+04 1.624023e+03 3.994408e-11 2.624533e-14 4.360532e-03 2.359460e-14 4.270396e-11 7.248665e-11 2.285156e-09 1.728844e-12
6.100000e+01 1.381988e+05 2.731775e+03 1.223890e-11 2.040512e-14 3.309508e-04 1.842374e-14 1.237149e-11 2.058839e-11 2.220974e-09 1.727285e-12
6.200000e+01 1.029975e+05 1.561749e-02 1.363859e-06 2.436890e-14 3.739998e-04 2.184577e-14 1.370647e-06 3.965987e-06 2.220973e-09 1.727309e-12
6.300000e+01 7.676255e+04 1.116744e-08 9.726648e-01 2.910270e-14 4.226485e-04 2.590341e-14 9.143401e-01 5.223580e+00 2.220971e-09 1.727334e-12
6.400000e+01 4.716340e+01 9.860874e-05 1.310113e-04 6.037534e-14 2.544895e-05 5.250700e-14 4.719353e-05 3.503337e-04 2.285183e-09 1.728942e-12
6.500000e+01 1.867734e+03 2.976173e-15 1.082428e+06 4.257299e-14 4.769340e-04 3.730109e-14 3.338676e+05 8.021667e+06 2.221319e-09 1.727393e-12
6.600000e+01 1.814066e-03 2.226285e-02 1.363856e-06 2.395566e-16 2.004968e-05 2.321084e-16 1.370646e-06 3.965936e-06 2.092161e-09 1.719999e-12
6.700000e+01 1.629134e-02 1.097091e-03 1.362008e-05 5.064577e-14 4.193624e-04 4.410440e-14 4.517408e-06 3.161739e-05 2.221280e-09 1.727415e-12
6.800000e+01 5.097188e+07 1.035426e-05 1.335028e-03 9.697103e-14 1.163341e-02 8.293290e-14 4.794571e-04 3.998313e-03 2.285141e-09 1.728986e-12
