long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Leptotrichia Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister
4.400000e+01 2.768667e+07 1.911449e-08 5.339971e-14 1.067794e-15 7.844656e-14 5.255880e-12 7.465437e-13 5.573598e-16 1.332145e-14 6.480188e-13 5.889288e-06 4.050765e-06
4.500000e+01 2.767248e+07 2.094097e-06 6.166167e-14 2.783680e-15 1.925516e-13 5.175895e-12 7.465450e-13 5.575836e-16 1.571709e-14 1.487524e-13 5.877425e-06 3.950628e-07
4.600000e+01 2.767578e+07 2.588743e-08 7.266376e-14 2.758546e-15 1.168938e-14 5.117225e-12 7.465893e-13 5.579553e-16 1.901009e-14 4.780064e-13 5.884387e-06 2.507484e-06
4.700000e+01 2.767799e+07 1.895558e-06 8.744459e-14 2.753229e-15 6.164872e-13 5.079152e-12 7.449003e-13 5.570206e-16 2.359976e-14 4.019801e-13 5.882371e-06 2.400069e-07
4.800000e+01 2.768168e+07 1.304061e-08 1.554411e-14 2.767600e-15 8.250359e-13 5.061217e-12 7.465552e-13 5.579565e-16 3.011211e-14 3.422163e-13 5.881366e-06 4.639884e-08
4.900000e+01 2.768170e+07 8.600755e-07 1.120637e-13 2.802039e-15 1.321484e-12 5.063211e-12 7.448334e-13 5.575862e-16 3.955212e-14 2.948575e-13 5.881359e-06 9.812414e-11
5.000000e+01 2.768361e+07 3.580779e-09 1.194435e-13 2.857456e-15 2.563193e-12 5.085169e-12 7.462071e-13 5.573645e-16 5.357624e-14 2.570625e-13 5.882349e-06 1.890082e-09
5.100000e+01 2.768428e+07 1.724239e-07 1.302651e-13 2.935334e-15 6.122449e-12 2.296328e-12 7.459789e-13 5.572334e-16 7.499485e-14 2.267200e-13 5.874276e-06 3.574098e-10
5.200000e+01 2.768620e+07 3.444941e-10 1.714923e-14 1.169442e-15 2.218319e-13 5.091642e-12 7.457908e-13 5.571583e-16 1.087293e-13 2.022482e-13 5.885089e-06 1.100762e-10
5.300000e+01 2.768528e+07 1.326701e-08 1.371820e-13 2.827304e-15 2.276104e-11 2.222076e-12 7.456417e-13 5.571196e-16 1.636998e-13 1.824535e-13 5.876839e-06 5.336234e-11
5.400000e+01 2.768658e+07 6.880366e-10 1.016971e-13 2.526673e-15 1.239483e-11 4.228176e-12 7.452601e-13 5.570796e-16 1.805803e-13 1.351757e-13 5.882528e-06 1.018447e-11
5.500000e+01 2.768623e+07 8.611105e-10 1.278082e-13 2.487725e-15 5.724199e-11 4.890933e-12 7.454196e-13 5.570887e-16 3.056139e-14 1.517586e-13 5.877731e-06 2.814274e-11
5.600000e+01 2.768699e+07 7.339189e-11 9.571454e-14 2.244464e-15 3.402230e-11 4.080933e-12 7.450745e-13 5.570607e-16 3.295449e-13 1.132076e-13 5.882322e-06 7.374886e-12
5.700000e+01 2.768664e+07 1.123597e-10 1.245590e-13 2.223348e-15 9.441501e-13 4.749348e-12 7.452695e-13 5.570769e-16 3.231176e-14 1.289010e-13 5.886460e-06 3.094487e-11
5.800000e+01 2.768731e+07 1.493313e-11 9.401648e-14 2.023520e-15 5.094287e-11 3.968643e-12 7.449592e-13 5.570528e-16 3.709501e-13 9.672565e-14 5.881838e-06 1.074952e-11
5.900000e+01 2.768704e+07 2.752771e-11 1.270419e-13 2.015673e-15 4.553931e-13 4.647863e-12 7.451883e-13 5.570710e-16 5.412351e-13 1.117625e-13 5.886988e-06 7.325980e-11
6.000000e+01 2.768769e+07 5.345407e-12 9.636778e-14 1.849224e-15 1.360162e-11 3.888576e-12 7.449117e-13 5.570473e-16 3.388605e-13 8.427078e-14 5.883384e-06 3.234715e-11
6.100000e+01 2.768743e+07 1.200898e-11 1.357194e-13 1.851580e-15 1.396368e-11 4.584033e-12 7.451744e-13 5.570644e-16 5.277988e-13 9.888668e-14 5.889574e-06 3.989946e-10
6.200000e+01 2.768820e+07 3.194956e-12 1.030949e-13 1.711141e-15 1.872938e-12 3.838821e-12 7.449313e-13 5.570380e-16 3.365774e-13 7.483240e-14 5.887041e-06 2.163943e-10
6.300000e+01 2.768743e+07 9.031435e-12 1.520614e-13 1.721639e-15 1.991807e-12 4.556365e-12 7.452274e-13 5.570499e-16 5.643764e-13 8.926476e-14 5.884208e-06 5.577367e-09
6.400000e+01 2.768800e+07 1.041594e-11 1.650105e-13 1.669231e-15 9.215185e-13 4.560358e-12 7.452890e-13 5.570421e-16 6.124816e-13 8.566700e-14 5.885076e-06 3.805987e-08
6.500000e+01 2.768774e+07 1.640558e-11 1.837340e-13 1.626694e-15 5.191326e-13 1.828109e-12 7.453871e-13 5.570404e-16 6.991063e-13 8.305279e-14 5.885142e-06 3.588269e-10
6.600000e+01 2.768814e+07 1.627205e-14 8.928469e-15 1.593180e-15 3.519938e-13 4.533289e-12 7.455222e-13 5.570442e-16 2.029097e-14 8.134015e-14 5.894465e-06 1.616628e-09
6.700000e+01 2.768747e+07 2.429649e-11 2.042007e-13 1.568045e-15 2.862690e-13 4.502430e-12 7.439631e-13 5.570546e-16 7.938847e-13 8.047858e-14 5.883721e-06 9.523914e-10
6.800000e+01 2.768791e+07 3.833475e-12 1.313342e-13 1.487570e-15 9.931042e-14 3.730403e-12 7.453893e-13 5.570466e-16 4.085035e-13 6.184990e-14 5.888250e-06 7.876982e-08
6.900000e+01 2.768642e+07 2.220396e-11 2.035223e-13 1.534157e-15 2.737248e-13 4.476227e-12 7.456256e-13 5.570791e-16 7.869003e-13 8.041170e-14 5.891911e-06 4.496756e-06
