long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_buccalis Prevotella_bivia g_Dialister g_Mobiluncus
3.900000e+01 1.676229e+00 8.334016e+08 2.261900e-16 2.147728e-14 4.885317e-16 2.490912e-16 8.564683e-16 7.328324e-16 2.333379e-16 1.095968e-09 2.460209e-16 3.077531e-16
4.000000e+01 1.606598e+00 6.253690e+08 2.323437e-16 2.161177e-14 5.364954e-16 3.469715e-16 9.005618e-16 7.389644e-16 2.693380e-16 1.856850e-08 3.314693e-16 4.085298e-16
4.100000e+01 1.677623e+00 8.545836e+08 2.323338e-16 1.060957e-14 3.339632e-16 2.490912e-16 8.796369e-16 7.250396e-16 2.333379e-16 5.317937e-09 2.460209e-16 4.085298e-16
4.200000e+01 1.611344e+00 6.940061e+08 2.481718e-16 1.068660e-14 4.342984e-16 3.469715e-16 9.264776e-16 7.316759e-16 2.693380e-16 2.036339e-07 3.314693e-16 6.934304e-16
4.300000e+01 1.677120e+00 6.890403e+08 2.481674e-16 5.857068e-15 3.667720e-16 2.490912e-16 9.047903e-16 7.185820e-16 2.333379e-16 7.704497e-08 2.460209e-16 6.934304e-16
4.400000e+01 1.611738e+00 5.638770e+08 2.918144e-16 5.906944e-15 7.663404e-16 3.469715e-16 9.546865e-16 7.256938e-16 2.693380e-16 7.094047e-09 3.314693e-16 1.862878e-15
4.500000e+01 1.674810e+00 5.129054e+08 2.918123e-16 3.552311e-15 7.215348e-16 2.490912e-16 9.320910e-16 7.133394e-16 2.333379e-16 8.143588e-07 2.460209e-16 1.862878e-15
4.600000e+01 1.614009e+00 3.459779e+08 4.344785e-16 3.588014e-15 5.700851e-15 3.469716e-16 9.853891e-16 7.209075e-16 2.693380e-16 4.507064e-05 3.314693e-16 1.179804e-14
4.700000e+01 1.670799e+00 3.262807e+08 4.344771e-16 2.333180e-15 5.579715e-15 2.490913e-16 9.617204e-16 7.092159e-16 2.333379e-16 7.309445e-06 2.460209e-16 1.179803e-14
4.800000e+01 1.610387e+00 2.260529e+08 1.155207e-15 2.360961e-15 1.839252e-12 3.478999e-16 1.018811e-15 7.172303e-16 2.693380e-16 1.289856e-03 1.016480e-06 3.707542e-13
4.900000e+01 1.665192e+00 1.710229e+08 1.155206e-15 1.639627e-15 1.825223e-12 2.497815e-16 9.938812e-16 7.061373e-16 2.333379e-16 3.119127e-04 1.408949e-06 3.707537e-13
5.000000e+01 1.852067e+00 3.056827e+08 1.276563e-14 1.662817e-15 2.110921e-05 1.530311e-05 1.055205e-15 7.145964e-16 2.693408e-16 3.382178e-04 5.026241e-06 2.321139e-10
5.100000e+01 1.661254e+00 1.321503e+08 1.276563e-14 1.220388e-15 2.105166e-05 2.627721e-05 1.028800e-15 7.040489e-16 2.333405e-16 1.861489e-02 4.176493e+04 2.321119e-10
5.200000e+01 1.605388e+00 2.634856e+08 4.671110e-12 1.240939e-15 1.500641e-04 2.566891e-05 1.094859e-15 7.129597e-16 2.737408e-16 1.358654e-02 3.242877e+04 1.044208e-13
5.300000e+01 1.659012e+00 2.116904e+08 4.671112e-12 9.539401e-16 8.608300e+02 4.722728e+06 1.066731e-15 7.029140e-16 2.372652e-16 4.255898e-01 4.645942e+05 4.048699e-09
5.400000e+01 1.592254e+00 2.250599e+08 9.270713e-06 9.731142e-16 4.777266e+02 2.926851e+05 1.138094e-15 7.122917e-16 1.893553e-05 2.136538e-01 3.315095e+05 8.442690e-07
5.500000e+01 1.655121e+00 3.717807e+08 9.270735e-06 7.775705e-16 1.078474e+06 1.999458e+06 1.107960e-15 7.027126e-16 3.417079e-05 3.904570e+00 2.107574e+06 6.230843e-09
5.600000e+01 1.583340e+00 4.857424e+08 6.488766e-06 7.962838e-16 1.483430e+06 1.746556e+06 1.185277e-15 7.125816e-16 6.560564e-05 1.018662e+00 2.151315e+06 1.337999e-04
5.700000e+01 1.649390e+00 5.648342e+08 1.489110e+01 6.570558e-16 1.152775e+07 1.833174e+06 1.152805e-15 7.034413e-16 1.766993e+07 1.412020e+01 1.417057e+07 9.655510e-06
5.800000e+01 1.575242e+00 4.418168e+08 1.404803e+00 6.760674e-16 5.350919e+06 1.760940e+05 2.790227e-16 7.138352e-16 8.686665e+05 1.737653e+00 1.156079e+06 2.002237e-07
5.900000e+01 1.641755e+00 7.006600e+08 9.978142e+02 5.728047e-16 2.009878e+07 2.558549e+06 1.169558e-15 7.051128e-16 1.179549e+07 1.838621e+01 1.128969e+07 8.390859e-03
6.000000e+01 1.825694e+00 1.022773e+09 1.901790e+01 5.928422e-16 1.055525e+07 1.689548e+06 1.223069e-15 7.160757e-16 1.326441e+07 2.000981e+00 1.761917e+07 2.267502e-05
6.100000e+01 1.635590e+00 8.523693e+08 1.301754e+02 5.131446e-16 9.880063e+06 2.696565e+06 1.156986e-15 7.077564e-16 9.733490e+06 9.071613e+00 1.460408e+07 3.342603e-03
6.200000e+01 1.561799e+00 9.870898e+08 1.169035e-03 5.350119e-16 2.440633e+05 9.181890e-06 1.211821e-15 7.193443e-16 1.256950e-05 2.769208e-01 1.752810e-05 3.002452e-08
6.300000e+01 1.630858e+00 1.285766e+09 5.521312e-03 4.709003e-16 4.681973e+05 4.350187e-05 1.146617e-15 7.114190e-16 1.030188e-04 1.614727e+00 1.363181e-04 6.033218e-07
6.400000e+01 1.815676e+00 1.409156e+09 4.317542e+01 4.956008e-16 1.991128e+03 2.489925e-05 1.203005e-15 7.237014e-16 5.531715e-05 2.235664e+02 8.660768e-05 7.167230e-07
6.500000e+01 1.627545e+00 1.890625e+09 1.902166e-05 4.415724e-16 4.335779e+02 2.497952e-16 1.138383e-15 7.161659e-16 2.374353e-16 5.001912e-01 2.460209e-16 2.860140e-11
6.600000e+01 1.552463e+00 1.506510e+09 5.063537e-12 4.704882e-16 2.640371e-05 3.479142e-16 1.196567e-15 7.292284e-16 2.739229e-16 2.313688e-02 3.314693e-16 3.965049e-11
6.700000e+01 1.625604e+00 2.307336e+09 4.800229e-08 4.223338e-16 2.269818e-05 2.490882e-16 1.132229e-15 7.220835e-16 2.333332e-16 2.892454e-01 2.460209e-16 1.557764e-13
6.800000e+01 1.552559e+00 2.200379e+09 4.222675e-08 4.575281e-16 5.756996e-06 2.787169e-16 1.192470e-15 7.360304e-16 2.450555e-16 3.879726e-03 2.720621e-16 2.965354e-13
6.900000e+01 1.809406e+00 1.404119e+09 1.390796e-09 4.569636e-16 1.986958e-08 8.957621e-16 1.191584e-15 7.402645e-16 4.314035e-16 2.786793e+02 8.979214e-16 1.692087e-13
