long.t Lactobacillus_iners Lactobacillus_crispatus Lactobacillus_jensenii Lactobacillus_gasseri Gardnerella_vaginalis g_Megasphaera g_Gemella g_Parvimonas Atopobium_vaginae Prevotella_bivia g_Dialister
4.200000e+01 5.528349e+07 2.148123e+07 1.739998e+06 1.616150e+02 2.787467e+05 8.112083e-13 5.049512e-15 2.087179e-11 1.500323e+01 9.621255e-16 2.308851e-08
4.300000e+01 4.417867e+07 2.092591e+07 1.506672e+06 1.616157e+02 1.919840e+05 8.050797e-13 4.966224e-15 1.723028e-13 5.977888e-05 4.827213e-16 2.938954e-09
4.400000e+01 3.481695e+07 1.837254e+07 1.276187e+06 1.616150e+02 1.481085e+05 2.104962e-14 5.048669e-15 2.220646e-08 7.721034e-05 1.581657e-05 1.351680e-08
4.500000e+01 3.257818e+07 1.794064e+07 1.196197e+06 1.616132e+02 1.141149e+05 2.012733e-12 4.965436e-15 5.615441e-09 1.676538e+02 1.549009e-05 2.387266e-09
4.600000e+01 3.721498e+07 1.991246e+07 1.132747e+06 1.616150e+02 3.336490e+04 2.287689e-14 5.047913e-15 3.857711e-16 5.978481e+00 6.839500e-07 6.975128e-11
4.700000e+01 2.684936e+07 1.567801e+07 9.519830e+05 1.616133e+02 5.306018e+04 9.360097e-13 4.964731e-15 3.787707e-09 2.893516e+03 2.461183e+04 1.451060e-09
4.800000e+01 3.624486e+07 1.663050e+07 9.232328e+05 1.616150e+02 1.223967e+04 1.115419e-12 5.047242e-15 3.798042e-09 2.384877e+00 7.995439e-06 2.688235e-11
4.900000e+01 3.093585e+07 1.432310e+07 7.851552e+05 1.616157e+02 1.486848e+04 2.256974e-13 4.964109e-15 2.627679e-14 2.033097e+02 1.425543e-06 2.822226e-10
5.000000e+01 2.534778e+07 1.389189e+07 7.594959e+05 1.616150e+02 1.460044e+03 2.817337e-13 5.046656e-15 2.652821e-14 1.866478e-05 1.425552e-06 4.512282e-10
5.100000e+01 3.518583e+07 1.331403e+07 6.681838e+05 1.616157e+02 2.175260e+03 7.501562e-14 4.963570e-15 8.760085e-16 4.773049e-06 4.395743e-16 4.022630e-11
5.200000e+01 1.488163e+07 1.043836e+07 4.385678e+05 1.616150e+02 1.318578e+02 9.946518e-14 5.046156e-15 9.061018e-16 1.077200e-05 4.396665e-16 7.208147e-11
5.300000e+01 2.225144e+07 1.205184e+07 5.327941e+05 1.616133e+02 1.425991e+02 3.265752e-14 4.963114e-15 3.342106e-16 6.597734e-13 2.266809e-16 8.975757e-12
5.400000e+01 1.748106e+07 1.063748e+07 4.436287e+05 1.616150e+02 2.808628e+05 4.694850e-14 5.045742e-15 3.869246e-16 4.944538e-09 2.289946e-16 1.866499e-11
5.500000e+01 1.012128e+07 1.053449e+07 3.905143e+05 1.616129e+02 4.803576e+01 1.791764e-14 4.962740e-15 2.635737e-16 7.826522e-12 2.222740e-16 2.965923e-12
5.600000e+01 7.099883e+06 9.812080e+06 3.332818e+05 1.616150e+02 7.727254e+01 1.400442e-14 4.962574e-15 2.559121e-16 1.647371e-10 2.222286e-16 1.869564e-12
5.700000e+01 4.986287e+06 9.139212e+06 2.844371e+05 1.616150e+02 1.243505e+02 1.094585e-14 4.962408e-15 2.484731e-16 5.662216e-10 2.221833e-16 1.178476e-12
5.800000e+01 3.505493e+06 8.512486e+06 2.427509e+05 1.616150e+02 2.002490e+02 8.555280e-15 4.962242e-15 2.412504e-16 3.861230e-10 2.221380e-16 7.428504e-13
5.900000e+01 2.466618e+06 7.928738e+06 2.071742e+05 1.616154e+02 3.227992e+02 6.686807e-15 4.962076e-15 2.342377e-16 4.917966e-11 2.220927e-16 4.682544e-13
6.000000e+01 1.523679e+05 4.296279e+06 7.465920e+04 1.616150e+02 4.805524e+01 9.403528e-15 5.044756e-15 2.375154e-16 1.492730e-04 2.221150e-16 9.851773e-13
6.100000e+01 4.996478e+05 6.512765e+06 1.298709e+05 1.616153e+02 5.249719e+02 4.395200e-15 4.961786e-15 2.255660e-16 8.485567e-08 2.220461e-16 2.125484e-13
6.200000e+01 1.658773e+06 1.407567e+07 3.393055e+05 1.616150e+02 5.310494e+02 6.456765e-15 5.044513e-15 2.264766e-16 1.199012e-10 2.220465e-16 4.945276e-13
6.300000e+01 1.083663e+05 5.510759e+06 8.657167e+04 1.616150e+02 5.358258e+02 3.317671e-15 4.961578e-15 2.233707e-16 1.740830e-05 2.220447e-16 1.243898e-13
6.400000e+01 8.164934e+04 5.287419e+06 7.856667e+04 1.616150e+02 5.428181e+02 2.977917e-15 4.961495e-15 2.230235e-16 8.238282e-08 2.220446e-16 1.010919e-13
6.500000e+01 6.147574e+04 5.073130e+06 7.130186e+04 1.616153e+02 5.508268e+02 2.672957e-15 4.961412e-15 2.226769e-16 1.696679e-10 2.220446e-16 8.215759e-14
6.600000e+01 5.699284e+03 3.044479e+06 3.098146e+04 1.616150e+02 1.764646e+02 4.300702e-15 5.044198e-15 2.228133e-16 1.573138e-08 2.220446e-16 2.348183e-13
6.700000e+01 1.629967e+04 4.504350e+06 5.321572e+04 1.616153e+02 4.689639e+02 2.275649e-15 4.961287e-15 2.222392e-16 1.931912e-13 2.220446e-16 6.030848e-14
6.800000e+01 4.457980e+05 1.322914e+07 2.685198e+05 1.616150e+02 8.960359e+02 4.162078e-15 5.044125e-15 2.224144e-16 5.025846e-09 2.220447e-16 2.224198e-13
